

TrainId=1 Delay=9853 FreeRun=3486 	Final Delay=380494
T15 Train15 AimedDepartureTime=5969 WaitTime=0 BaseTime=5969 RunTime=109	OptSolTime=6117
T14 Train15 AimedDepartureTime=6078 WaitTime=0 BaseTime=6078 RunTime=240	OptSolTime=6226
T13 Train15 AimedDepartureTime=6348 WaitTime=30 BaseTime=6348 RunTime=330	OptSolTime=6496
T12 Train15 AimedDepartureTime=6678 WaitTime=0 BaseTime=6678 RunTime=88	OptSolTime=6826
T11 Train15 AimedDepartureTime=6766 WaitTime=0 BaseTime=6766 RunTime=92	OptSolTime=6914
T10 Train15 AimedDepartureTime=6858 WaitTime=0 BaseTime=6858 RunTime=360	OptSolTime=7006
T9 Train15 AimedDepartureTime=7278 WaitTime=60 BaseTime=7278 RunTime=180	OptSolTime=7426
T8 Train15 AimedDepartureTime=7488 WaitTime=30 BaseTime=7488 RunTime=210	OptSolTime=7636
T7 Train15 AimedDepartureTime=7728 WaitTime=30 BaseTime=7728 RunTime=129	OptSolTime=7876
T5 Train15 AimedDepartureTime=7857 WaitTime=0 BaseTime=7857 RunTime=50	OptSolTime=8005
T3 Train15 AimedDepartureTime=7907 WaitTime=0 BaseTime=7907 RunTime=165	OptSolTime=8055
T1 Train15 AimedDepartureTime=8072 WaitTime=0 BaseTime=8072 RunTime=286	OptSolTime=8220

TrainId=16 Delay=0 FreeRun=631 	Final Delay=0
T22 Train16 AimedDepartureTime=106 WaitTime=151 BaseTime=106 RunTime=240	OptSolTime=106
T23 Train16 AimedDepartureTime=631 WaitTime=285 BaseTime=631 RunTime=315	OptSolTime=631

TrainId=17 Delay=255 FreeRun=2520 	Final Delay=3736
T17 Train17 AimedDepartureTime=0 WaitTime=30 BaseTime=255 RunTime=180	OptSolTime=255
T18 Train17 AimedDepartureTime=0 WaitTime=0 BaseTime=435 RunTime=240	OptSolTime=435
T19 Train17 AimedDepartureTime=420 WaitTime=0 BaseTime=675 RunTime=180	OptSolTime=675
T20 Train17 AimedDepartureTime=600 WaitTime=0 BaseTime=855 RunTime=30	OptSolTime=855
T21 Train17 AimedDepartureTime=660 WaitTime=30 BaseTime=915 RunTime=300	OptSolTime=915
T22 Train17 AimedDepartureTime=1140 WaitTime=180 BaseTime=1395 RunTime=270	OptSolTime=1395
T23 Train17 AimedDepartureTime=1440 WaitTime=30 BaseTime=1695 RunTime=270	OptSolTime=5176
T24 Train17 AimedDepartureTime=1740 WaitTime=30 BaseTime=1995 RunTime=220	OptSolTime=5476
T25 Train17 AimedDepartureTime=1980 WaitTime=20 BaseTime=2235 RunTime=390	OptSolTime=5716
T26 Train17 AimedDepartureTime=2400 WaitTime=30 BaseTime=2655 RunTime=120	OptSolTime=6136
T27 Train17 AimedDepartureTime=2520 WaitTime=0 BaseTime=2775 RunTime=120	OptSolTime=6256

TrainId=18 Delay=0 FreeRun=5916 	Final Delay=165
T23 Train18 AimedDepartureTime=1486 WaitTime=1705 BaseTime=1486 RunTime=2014	OptSolTime=1486
T22 Train18 AimedDepartureTime=3500 WaitTime=0 BaseTime=3500 RunTime=200	OptSolTime=3500
T21 Train18 AimedDepartureTime=3700 WaitTime=0 BaseTime=3700 RunTime=132	OptSolTime=3700
T20 Train18 AimedDepartureTime=3832 WaitTime=0 BaseTime=3832 RunTime=145	OptSolTime=3832
T19 Train18 AimedDepartureTime=3977 WaitTime=0 BaseTime=3977 RunTime=170	OptSolTime=3977
T18 Train18 AimedDepartureTime=4147 WaitTime=0 BaseTime=4147 RunTime=211	OptSolTime=4147
T17 Train18 AimedDepartureTime=4358 WaitTime=0 BaseTime=4358 RunTime=262	OptSolTime=4486
T16 Train18 AimedDepartureTime=4620 WaitTime=0 BaseTime=4620 RunTime=89	OptSolTime=4748
T15 Train18 AimedDepartureTime=4709 WaitTime=0 BaseTime=4709 RunTime=172	OptSolTime=4837
T14 Train18 AimedDepartureTime=4881 WaitTime=0 BaseTime=4881 RunTime=153	OptSolTime=5009
T13 Train18 AimedDepartureTime=5034 WaitTime=0 BaseTime=5034 RunTime=257	OptSolTime=5162
T12 Train18 AimedDepartureTime=5291 WaitTime=0 BaseTime=5291 RunTime=125	OptSolTime=5419
T11 Train18 AimedDepartureTime=5416 WaitTime=0 BaseTime=5416 RunTime=105	OptSolTime=5581
T10 Train18 AimedDepartureTime=5521 WaitTime=0 BaseTime=5521 RunTime=289	OptSolTime=5686
T9 Train18 AimedDepartureTime=5810 WaitTime=0 BaseTime=5810 RunTime=106	OptSolTime=5975
T8 Train18 AimedDepartureTime=5916 WaitTime=0 BaseTime=5916 RunTime=93	OptSolTime=6081

TrainId=19 Delay=98 FreeRun=25708 	Final Delay=1080
T23 Train19 AimedDepartureTime=19126 WaitTime=0 BaseTime=19224 RunTime=540	OptSolTime=19224
T22 Train19 AimedDepartureTime=19906 WaitTime=240 BaseTime=20004 RunTime=480	OptSolTime=20004
T21 Train19 AimedDepartureTime=20386 WaitTime=0 BaseTime=20484 RunTime=132	OptSolTime=20715
T20 Train19 AimedDepartureTime=20518 WaitTime=0 BaseTime=20616 RunTime=408	OptSolTime=20847
T19 Train19 AimedDepartureTime=21166 WaitTime=240 BaseTime=21264 RunTime=457	OptSolTime=21495
T18 Train19 AimedDepartureTime=21623 WaitTime=0 BaseTime=21721 RunTime=241	OptSolTime=21952
T17 Train19 AimedDepartureTime=21864 WaitTime=0 BaseTime=21962 RunTime=304	OptSolTime=22193
T16 Train19 AimedDepartureTime=22168 WaitTime=0 BaseTime=22266 RunTime=102	OptSolTime=22497
T15 Train19 AimedDepartureTime=22270 WaitTime=0 BaseTime=22368 RunTime=197	OptSolTime=22599
T14 Train19 AimedDepartureTime=22467 WaitTime=0 BaseTime=22565 RunTime=190	OptSolTime=22796
T13 Train19 AimedDepartureTime=22657 WaitTime=0 BaseTime=22755 RunTime=292	OptSolTime=22986
T12 Train19 AimedDepartureTime=22949 WaitTime=0 BaseTime=23047 RunTime=108	OptSolTime=23278
T11 Train19 AimedDepartureTime=23057 WaitTime=0 BaseTime=23155 RunTime=749	OptSolTime=23386
T10 Train19 AimedDepartureTime=24406 WaitTime=600 BaseTime=24504 RunTime=900	OptSolTime=25486
T9 Train19 AimedDepartureTime=25306 WaitTime=0 BaseTime=25404 RunTime=98	OptSolTime=26386
T8 Train19 AimedDepartureTime=25404 WaitTime=0 BaseTime=25502 RunTime=82	OptSolTime=26484
T7 Train19 AimedDepartureTime=25486 WaitTime=0 BaseTime=25584 RunTime=56	OptSolTime=26566
T5 Train19 AimedDepartureTime=25542 WaitTime=0 BaseTime=25640 RunTime=29	OptSolTime=26622
T3 Train19 AimedDepartureTime=25571 WaitTime=0 BaseTime=25669 RunTime=137	OptSolTime=26651
T1 Train19 AimedDepartureTime=25708 WaitTime=0 BaseTime=25806 RunTime=258	OptSolTime=26788

TrainId=20 Delay=255 FreeRun=6350 	Final Delay=4606
T9 Train20 AimedDepartureTime=0 WaitTime=30 BaseTime=255 RunTime=150	OptSolTime=255
T10 Train20 AimedDepartureTime=0 WaitTime=30 BaseTime=435 RunTime=300	OptSolTime=1370
T11 Train20 AimedDepartureTime=480 WaitTime=0 BaseTime=735 RunTime=75	OptSolTime=1670
T12 Train20 AimedDepartureTime=555 WaitTime=0 BaseTime=810 RunTime=105	OptSolTime=1745
T13 Train20 AimedDepartureTime=660 WaitTime=0 BaseTime=915 RunTime=220	OptSolTime=1850
T14 Train20 AimedDepartureTime=900 WaitTime=20 BaseTime=1155 RunTime=160	OptSolTime=2090
T15 Train20 AimedDepartureTime=1080 WaitTime=20 BaseTime=1335 RunTime=148	OptSolTime=2270
T16 Train20 AimedDepartureTime=1228 WaitTime=0 BaseTime=1483 RunTime=32	OptSolTime=2418
T17 Train20 AimedDepartureTime=1260 WaitTime=0 BaseTime=1515 RunTime=240	OptSolTime=2450
T18 Train20 AimedDepartureTime=1500 WaitTime=0 BaseTime=1755 RunTime=180	OptSolTime=2690
T19 Train20 AimedDepartureTime=1680 WaitTime=0 BaseTime=1935 RunTime=180	OptSolTime=2870
T20 Train20 AimedDepartureTime=1860 WaitTime=0 BaseTime=2115 RunTime=30	OptSolTime=3050
T21 Train20 AimedDepartureTime=1920 WaitTime=30 BaseTime=2175 RunTime=180	OptSolTime=3110
T22 Train20 AimedDepartureTime=2100 WaitTime=0 BaseTime=2355 RunTime=210	OptSolTime=3290
T23 Train20 AimedDepartureTime=2340 WaitTime=30 BaseTime=2595 RunTime=270	OptSolTime=3530
T24 Train20 AimedDepartureTime=2640 WaitTime=30 BaseTime=2895 RunTime=230	OptSolTime=6096
T25 Train20 AimedDepartureTime=2880 WaitTime=10 BaseTime=3135 RunTime=390	OptSolTime=6496
T26 Train20 AimedDepartureTime=3300 WaitTime=30 BaseTime=3555 RunTime=120	OptSolTime=7906
T27 Train20 AimedDepartureTime=3420 WaitTime=0 BaseTime=3675 RunTime=120	OptSolTime=8026
T28 Train20 AimedDepartureTime=3660 WaitTime=120 BaseTime=3915 RunTime=470	OptSolTime=8266
T29 Train20 AimedDepartureTime=4140 WaitTime=10 BaseTime=4395 RunTime=960	OptSolTime=8746
T30 Train20 AimedDepartureTime=5340 WaitTime=240 BaseTime=5595 RunTime=290	OptSolTime=9946
T31 Train20 AimedDepartureTime=5640 WaitTime=10 BaseTime=5895 RunTime=330	OptSolTime=10246
T32 Train20 AimedDepartureTime=6000 WaitTime=30 BaseTime=6255 RunTime=350	OptSolTime=10606
T33 Train20 AimedDepartureTime=6350 WaitTime=0 BaseTime=6605 RunTime=250	OptSolTime=10956

TrainId=21 Delay=0 FreeRun=9156 	Final Delay=0
T1 Train21 AimedDepartureTime=2206 WaitTime=0 BaseTime=2206 RunTime=110	OptSolTime=2206
T2 Train21 AimedDepartureTime=2316 WaitTime=0 BaseTime=2316 RunTime=110	OptSolTime=2316
T4 Train21 AimedDepartureTime=2446 WaitTime=20 BaseTime=2446 RunTime=50	OptSolTime=2446
T6 Train21 AimedDepartureTime=2496 WaitTime=0 BaseTime=2496 RunTime=100	OptSolTime=2496
T8 Train21 AimedDepartureTime=2626 WaitTime=30 BaseTime=2626 RunTime=90	OptSolTime=2626
T9 Train21 AimedDepartureTime=2746 WaitTime=30 BaseTime=2746 RunTime=180	OptSolTime=2746
T10 Train21 AimedDepartureTime=3046 WaitTime=120 BaseTime=3046 RunTime=240	OptSolTime=3046
T11 Train21 AimedDepartureTime=3286 WaitTime=0 BaseTime=3286 RunTime=100	OptSolTime=3286
T12 Train21 AimedDepartureTime=3406 WaitTime=20 BaseTime=3406 RunTime=100	OptSolTime=3406
T13 Train21 AimedDepartureTime=3526 WaitTime=20 BaseTime=3526 RunTime=270	OptSolTime=3526
T14 Train21 AimedDepartureTime=3826 WaitTime=30 BaseTime=3826 RunTime=160	OptSolTime=3826
T15 Train21 AimedDepartureTime=4006 WaitTime=20 BaseTime=4006 RunTime=100	OptSolTime=4006
T16 Train21 AimedDepartureTime=4126 WaitTime=20 BaseTime=4126 RunTime=100	OptSolTime=4126
T17 Train21 AimedDepartureTime=4246 WaitTime=20 BaseTime=4246 RunTime=240	OptSolTime=4246
T18 Train21 AimedDepartureTime=4486 WaitTime=0 BaseTime=4486 RunTime=180	OptSolTime=4486
T19 Train21 AimedDepartureTime=4666 WaitTime=0 BaseTime=4666 RunTime=180	OptSolTime=4666
T20 Train21 AimedDepartureTime=4846 WaitTime=0 BaseTime=4846 RunTime=30	OptSolTime=4846
T21 Train21 AimedDepartureTime=4906 WaitTime=30 BaseTime=4906 RunTime=300	OptSolTime=4906
T22 Train21 AimedDepartureTime=5206 WaitTime=0 BaseTime=5206 RunTime=270	OptSolTime=5206
T23 Train21 AimedDepartureTime=5506 WaitTime=30 BaseTime=5506 RunTime=330	OptSolTime=5506
T24 Train21 AimedDepartureTime=5866 WaitTime=30 BaseTime=5866 RunTime=230	OptSolTime=5866
T25 Train21 AimedDepartureTime=6106 WaitTime=10 BaseTime=6106 RunTime=390	OptSolTime=6106
T26 Train21 AimedDepartureTime=6526 WaitTime=30 BaseTime=6526 RunTime=120	OptSolTime=6526
T27 Train21 AimedDepartureTime=6646 WaitTime=0 BaseTime=6646 RunTime=120	OptSolTime=6646
T28 Train21 AimedDepartureTime=6826 WaitTime=60 BaseTime=6826 RunTime=410	OptSolTime=6826
T29 Train21 AimedDepartureTime=7246 WaitTime=10 BaseTime=7246 RunTime=930	OptSolTime=7246
T30 Train21 AimedDepartureTime=8206 WaitTime=30 BaseTime=8206 RunTime=290	OptSolTime=8206
T31 Train21 AimedDepartureTime=8506 WaitTime=10 BaseTime=8506 RunTime=270	OptSolTime=8506
T32 Train21 AimedDepartureTime=8806 WaitTime=30 BaseTime=8806 RunTime=350	OptSolTime=8806
T33 Train21 AimedDepartureTime=9156 WaitTime=0 BaseTime=9156 RunTime=250	OptSolTime=9156

TrainId=22 Delay=0 FreeRun=10006 	Final Delay=1950
T27 Train22 AimedDepartureTime=3286 WaitTime=0 BaseTime=3286 RunTime=165	OptSolTime=3286
T26 Train22 AimedDepartureTime=3451 WaitTime=0 BaseTime=3451 RunTime=195	OptSolTime=3451
T25 Train22 AimedDepartureTime=3676 WaitTime=30 BaseTime=3676 RunTime=450	OptSolTime=3676
T24 Train22 AimedDepartureTime=4156 WaitTime=30 BaseTime=4156 RunTime=330	OptSolTime=4156
T23 Train22 AimedDepartureTime=4516 WaitTime=30 BaseTime=4516 RunTime=450	OptSolTime=4638
T22 Train22 AimedDepartureTime=4996 WaitTime=30 BaseTime=4996 RunTime=450	OptSolTime=6616
T21 Train22 AimedDepartureTime=5626 WaitTime=180 BaseTime=5626 RunTime=360	OptSolTime=7246
T20 Train22 AimedDepartureTime=6016 WaitTime=30 BaseTime=6016 RunTime=210	OptSolTime=7636
T19 Train22 AimedDepartureTime=6226 WaitTime=0 BaseTime=6226 RunTime=180	OptSolTime=7846
T18 Train22 AimedDepartureTime=6406 WaitTime=0 BaseTime=6406 RunTime=360	OptSolTime=8026
T17 Train22 AimedDepartureTime=6886 WaitTime=120 BaseTime=6886 RunTime=420	OptSolTime=8506
T16 Train22 AimedDepartureTime=7336 WaitTime=30 BaseTime=7336 RunTime=150	OptSolTime=8956
T15 Train22 AimedDepartureTime=7516 WaitTime=30 BaseTime=7516 RunTime=210	OptSolTime=9136
T14 Train22 AimedDepartureTime=7756 WaitTime=30 BaseTime=7756 RunTime=270	OptSolTime=9376
T13 Train22 AimedDepartureTime=8056 WaitTime=30 BaseTime=8056 RunTime=390	OptSolTime=9856
T12 Train22 AimedDepartureTime=8476 WaitTime=30 BaseTime=8476 RunTime=150	OptSolTime=10276
T11 Train22 AimedDepartureTime=8656 WaitTime=30 BaseTime=8656 RunTime=150	OptSolTime=10456
T10 Train22 AimedDepartureTime=8806 WaitTime=0 BaseTime=8806 RunTime=360	OptSolTime=10756
T9 Train22 AimedDepartureTime=9196 WaitTime=30 BaseTime=9196 RunTime=150	OptSolTime=11146
T8 Train22 AimedDepartureTime=9376 WaitTime=30 BaseTime=9376 RunTime=210	OptSolTime=11326
T7 Train22 AimedDepartureTime=9616 WaitTime=30 BaseTime=9616 RunTime=90	OptSolTime=11566
T5 Train22 AimedDepartureTime=9706 WaitTime=0 BaseTime=9706 RunTime=60	OptSolTime=11656
T3 Train22 AimedDepartureTime=9796 WaitTime=30 BaseTime=9796 RunTime=210	OptSolTime=11746
T1 Train22 AimedDepartureTime=10006 WaitTime=0 BaseTime=10006 RunTime=300	OptSolTime=11956

TrainId=23 Delay=0 FreeRun=7006 	Final Delay=360
T8 Train23 AimedDepartureTime=4306 WaitTime=300 BaseTime=4306 RunTime=152	OptSolTime=4306
T9 Train23 AimedDepartureTime=4458 WaitTime=0 BaseTime=4458 RunTime=128	OptSolTime=4458
T10 Train23 AimedDepartureTime=4586 WaitTime=0 BaseTime=4586 RunTime=331	OptSolTime=4586
T11 Train23 AimedDepartureTime=4917 WaitTime=0 BaseTime=4917 RunTime=91	OptSolTime=4917
T12 Train23 AimedDepartureTime=5008 WaitTime=0 BaseTime=5008 RunTime=123	OptSolTime=5008
T13 Train23 AimedDepartureTime=5131 WaitTime=0 BaseTime=5131 RunTime=289	OptSolTime=5489
T14 Train23 AimedDepartureTime=5420 WaitTime=0 BaseTime=5420 RunTime=206	OptSolTime=5778
T15 Train23 AimedDepartureTime=5626 WaitTime=0 BaseTime=5626 RunTime=133	OptSolTime=5984
T16 Train23 AimedDepartureTime=5759 WaitTime=0 BaseTime=5759 RunTime=94	OptSolTime=6119
T17 Train23 AimedDepartureTime=5853 WaitTime=0 BaseTime=5853 RunTime=253	OptSolTime=6213
T18 Train23 AimedDepartureTime=6106 WaitTime=0 BaseTime=6106 RunTime=180	OptSolTime=6466
T19 Train23 AimedDepartureTime=6286 WaitTime=0 BaseTime=6286 RunTime=180	OptSolTime=6646
T20 Train23 AimedDepartureTime=6466 WaitTime=0 BaseTime=6466 RunTime=151	OptSolTime=6826
T21 Train23 AimedDepartureTime=6617 WaitTime=0 BaseTime=6617 RunTime=149	OptSolTime=6977
T22 Train23 AimedDepartureTime=6766 WaitTime=0 BaseTime=6766 RunTime=240	OptSolTime=7126
T23 Train23 AimedDepartureTime=7006 WaitTime=0 BaseTime=7006 RunTime=240	OptSolTime=7366

